ACCTXXX,Accounting Elec,ACCT303,ACCT326,ACCT428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLBBB,Modern British Lit,ENGL255,ENGL232,ENGL318,ENGL321,ENGL322,ENGL330,ENGL381,ENGL386,ENGL389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLCCC,American Lit,ENGL243,ENGL260,ENGL261,ENGL262,ENGL264,ENGL347,ENGL353,ENGL365,ENGL368,ENGL370,ENGL373,ENGL383,ENGL384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLDDD,Pre-Modern Lit,ENGL202,ENGL265,ENGL266,ENGL271,ENGL319,ENGL345,ENGL378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLEEE,Modern Lit,ENGL203,ENGL277,ENGL326,ENGL342,ENGL361,ENGL362,ENGL376,ENGL382,ENGL398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLWWW,Writing Elec,ENGL225,ENGL280,ENGL282,ENGL283,ENGL284,ENGL286,ENGL288,ENGL300,ENGL311,ENGL331,ENGL333,ENGL335,ENGL371,ENGL377,ENGL410,ENGL411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ENGLXXX,English Elec,ENGL220,ENGL251,ENGL313,ENGL314,ENGL317,ENGL375,ENGL407,ENGL255,ENGL232,ENGL318,ENGL321,ENGL322,ENGL330,ENGL381,ENGL386,ENGL389,ENGL243,ENGL260,ENGL261,ENGL262,ENGL264,ENGL347,ENGL353,ENGL365,ENGL368,ENGL370,ENGL373,ENGL383,ENGL384,ENGL202,ENGL265,ENGL266,ENGL271,ENGL319,ENGL345,ENGL378,ENGL203,ENGL277,ENGL326,ENGL342,ENGL361,ENGL362,ENGL376,ENGL382,ENGL398,ENGL225,ENGL280,ENGL282,ENGL283,ENGL284,ENGL286,ENGL288,ENGL300,ENGL311,ENGL331,ENGL333,ENGL335,ENGL371,ENGL377,ENGL410,ENGL411,,,,,,,,
SCIENVI,Science Elective,BIOL211,BIOL232,BIOL335,BIOL336,BIOL341,BIOL391,EASC241,EASC246,GEOL233,PHYS201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLENVI,Policy and Planning,ANTH161,GEOG135,GEOG212,GEOG214,GEOG225,GEOG230,GEOG240,GEOG272,GEOG316,GEOG328,GEOG339,PHIL234,POSC223,POSC250,POSC329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COMENVI,Communication,COMM107,COMM115,COMM328,ENGL225,ENGL372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARTSCI,Science Elective,BIOL130,BIOL248,CHEM201,CSCI120,ENVS202,GEOG203,GEOG216,GEOG375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASHXXX,Fashion Electives,FASH200,FASH243,FASH250,FASH253,FASH290,FASH342,FASH352,FASH354,FASH355,FASH386,FASH390,FASH447,FASH448,FASH449,FASH455,FASH490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAEEE,,FINA300,FINA357,FINA445,ECON414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAPPP,Planning Elec,FINA100,FINA301,FINA357,FINA431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINAGEN,Finance Elec,ACCT303,ACCT326,ACCT428,ECON320,FINA300,FINA321,FINA357,FINA420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGREG,Regional Geo,GEOG250,GEOG251,GEOG252,GEOG253,GEOG254,GEOG255,GEOG256,GEOG257,GEOG258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGGIS,GIS Electives,CSCI108,CSCI120,CSCI140,GEOG208,GEOG260,GEOG339,GEOG495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GEOGGLO,Global Geog,GEOG180,GEOG201,GEOG206,GEOG208,GEOG211,GEOG214,GEOG230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1AA,LL American,HIST120,HIST151,HIST152,HIST165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST1WW,LL World,HIST123,HIST149,HIST153,HIST154,HIST155,HIST176,HIST186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3AA,UL American,HSTA302,HSTA304,HSTA306,HSTA308,HSTA309,HSTA310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3EE,UL European,HSTE302,HSTE308,HSTE329,HSTE349,HSTE355,HSTE365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3WW,UL World,HSTW301,HSTW318,HSTW321,HSTW337,HSTW345,HSTW355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HIST3XX,UL Elective,HSTA302,HSTA304,HSTA306,HSTA308,HSTA309,HSTA310,HSTE302,HSTE308,HSTE329,HSTE349,HSTE355,HSTE365,HSTW301,HSTW318,HSTW321,HSTW337,HSTW345,HSTW355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLTHXXX,Nutrition Elec,NUTR275,NUTR390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MGMTENT,Entrepreneurship,ACCT428,ENTR302,ENTR495,MGMT300,MGMT308,MRKT310,MRKT308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATH3XX,UL Math Elec,MATH301,MATH307,MATH308,MATH310,MATH313,MATH317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATHSCI,Math Elec,CSCI108,CSCI120,CSCI130,CSCI200,CSCI215,CSCI258,CSCI271,PHYS201,PHYS201,PHYS211,PHYS212,MATH215,MATH222,MATH301,MATH307,MATH308,MATH310,MATH313,MATH317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRKT3XX,UL Marketing,MGMT300,MGMT308,MGMT495,MRKT301,MRKT308,MRKT310,MRKT313,MRKT318,MRKT320,MRKT324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CSCIMAT,CS for Math,CSCI108,CSCI120,CSCI130,CSCI200,CSCI215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSCXXX,Poli Sci Elec,POSC200,POSC209,POSC211,POSC213,POSC216,POSC220,POSC223,POSC250,POSC260,POSC262,POSC269,POSC270,POSC272,POSC276,POSC300,POSC315,POSC325,POSC327,POSC329,POSC342,POSC365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSC2XX,Int Poli Sci,POSC200,POSC209,POSC211,POSC213,POSC216,POSC220,POSC223,POSC250,POSC260,POSC262,POSC269,POSC270,POSC272,POSC276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POSC3XX,Adv Poli Sci,POSC300,POSC315,POSC325,POSC327,POSC329,POSC342,POSC365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYC4XX,Psych Capstone,PSYC450,PSYC460,PSYC480,PSYC495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCBBB,Biological,PSYC245,PSYC280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCLLL,Learning,PSYC271,PSYC236,PSYC263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCSSS,Sociocultural,PSYC215,PSYC224,PSYC259,PSYC286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCUUU,UL Psych Elec,PSYC304,PSYC305,PSYC310,PSYC313,PSYC318,PSYC322,PSYC338,PSYC341,PSYC450,PSYC460,PSYC480,PSYC495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSYCDDD,Developmental,PSYC200,PSYC201,PSYC212,PSYC231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCI3XX,UL Sociology,SOCI306,SOCI306,SOCI308,SOCI312,SOCI315,SOCI321,SOCI325,SOCI333,SOCI340,SOCI342,SOCI350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOCIXXX,Sociology Elec,SOCI204,SOCI205,SOCI210,SOCI212,SOCI218,SOCI220,SOCI222,SOCI230,SOCI245,SOCI254,SOCI263,SOCI306,SOCI306,SOCI308,SOCI312,SOCI315,SOCI321,SOCI325,SOCI333,SOCI340,SOCI342,SOCI350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPANCCC,Spanish Culture,SPAN334,SPAN431,SPAN443,SPAN448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPANLLL,Spanish Language,SPAN320,SPAN335,SPAN336,SPAN343,SPAN345,SPAN435,SPAN436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPANXXX,Spanish Elec,SPAN334,SPAN431,SPAN443,SPAN448,SPAN320,SPAN335,SPAN336,SPAN343,SPAN345,SPAN435,SPAN436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCI,Science,BIOL130,CHEM107,GEOL231,PHYS201,PHYS211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIA,Creative Arts,ARTS110,ARTS120,ARTS167,ARTS234,ARTS241,ARTS290,COMM107,COMM208,COMM212,COMM214,COMM226,COMM262,COMM280,CSCI108,CSCI140,ENGL282,INTD160,MUSC106,MUSC111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIB,Humanities,ARTH160,ARTH273,ARTH282,ARTH290,CHIN118,COMM130,COMM201,COMM210,ENGL111,ENGL118,ENGL132,ENGL150,ENGL186,ENGL201,ENGL207,ENGL220,ENGL232,ENGL243,ENGL250,ENGL262,HIST120,HIST123,MUSC121,MUSC141,MUSC206,MUSC248,MUSC275,PHIL101,PHIL118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIC,Language,ASGN101,ASGN102,CHIN101,CHIN102,CHIN201,CHIN202,FREN101,FREN102,FREN201,FREN202,PORT101,PORT102,RUSS101,RUSS102,SPAN101,SPAN102,SPAN201,SPAN202,SPAN210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIIA,Analysis,CSCI120,CSCI130,HIST200,MATH105,MATH107,MATH110,MATH117,MATH119,MATH120,MATH123,MATH157,MATH200,MATH217,MATH219,MUSC201,PHIL103,PHIL131,QUAN201,SOCI205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIIB,Natural Science,ASTR123,ASTR220,ASTR230,BIOL101,BIOL103,BIOL109,BIOL112,BIOL114,BIOL130,BIOL142,BIOL203,CHEM101,CHEM103,CHEM107,CHEM108,CHEM131,EASC131,EASC241,EASC246,FDSC151,FDSC161,GEOL231,GEOL233,NUTR205,PHSC109,PHYS111,PHYS201,PHYS211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIIIA,Study of Past,ANTH172,ANTH206,ARTH270,ARTH272,ECON106,ECON232,ENGL209,FASH223,HIST151,HIST152,HIST153,HIST154,HIST165,HIST176,HIST186,MUSC151,MUSC205,MUSC220,PHIL201,POSC206,POSC209,POSC211,POSC223,POSC270,POSC272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIIIB,Contemp Study,ANTH161,ANTH243,ANTH253,ANTH258,COMM215,CRIM121,CRIM201,CRIM211,CRIM224,CRIM240,CRIM270,CSCI135,DFST101,ECON100,ECON102,ENGL203,ENGL240,GEOG101,GEOG180,GEOG211,GEOG237,MUSC212,PHIL105,POSC110,POSC200,POSC213,POSC229,POSC250,POSC276,PSYC101,PSYC200,SOCI101,SOCI130,SOCI212,SOCI218,SOCI230,SOCI263,SOCI280,SOCI282,THEA101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMIIIC,Global Ethics,ANTH207,ANTH290,ARTH200,ARTH285,ARTH288,COMM202,COMM245,CSCI138,ECON100,ECON101,ECON105,ECON200,EDUC222,ENGL124,ENGL260,ENGL264,FASH253,GEOG110,GEOG165,GEOG206,GEOG222,GEOG250,GEOG252,GEOG253,GEOG254,GEOG255,GEOG256,GEOG257,GEOG258,GEOG290,GEOG291,GLST101,GLST222,HIST149,HIST155,HNRS101,LING110,MUSC171,PHIL102,PHIL222,POSC120,POSC216,POSC220,POSC260,POSC262,POSC269,SOCI201,SOCI204,SOCI210,SOCI220,,,,,,,,,,,,,,,,SOCI222,SOCI245,SOCI254,SOCI288
LABIIB,Lab Science,ASTR123,BIOL101,BIOL109,BIOL112,BIOL130,BIOL142,CHEM103,CHEM107,CHEM108,CHEM131,FDSC161,GEOL231,GEOL233,PHSC109,PHYS111,PHYS201,PHYS211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
